practice_code,year,covid_year,sat_start,sat_end,register,list_size,copd_prevalence,lat,lon,n_lsoas,n_unique_lsoas,wy_patients,total_wy_patients,image_path,image_std,elevation_lsoa_weighted,ndvi_lsoa_weighted,evi_lsoa_weighted,no2_lsoa_weighted,pm25_lsoa_weighted,lst_lsoa_weighted,pop_lsoa_weighted
B82004,2019-20,0,2019-04-01,2020-03-31,151.0,10318,1.46,53.95679377410468,-1.7183322314049587,9.0,9,363.0,363,/content/drive/MyDrive/wy_images/B82004_2019_20.png,15.094922202187368,249.4,0.7297,0.4609169846012411,84.86,0.1684860929,2.26,2.24
B82004,2020-21,1,2020-04-01,2021-03-31,162.0,10494,1.54,53.95679377410468,-1.7183322314049587,9.0,9,363.0,363,/content/drive/MyDrive/wy_images/B82004_2020_21.png,16.24656738190621,249.4,0.7337,0.461192300620547,80.66,0.1649911597,-4.1,2.33
B82004,2021-22,0,2021-04-01,2022-03-31,148.0,10752,1.38,53.95679377410468,-1.7183322314049587,9.0,9,363.0,363,/content/drive/MyDrive/wy_images/B82004_2021_22.png,14.397470313046334,249.4,0.7024,0.4736916478970351,92.12,0.1563762814,3.72,2.36
B82004,2022-23,0,2022-04-01,2023-03-31,138.0,10926,1.26,53.95679377410468,-1.7183322314049587,9.0,9,363.0,363,/content/drive/MyDrive/wy_images/B82004_2022_23.png,15.73240384650973,249.4,0.716,0.4669005194208228,89.69,0.1343854525,-3.2,2.53
B82004,2023-24,0,2023-04-01,2024-03-31,133.0,10903,1.22,53.95679377410468,-1.7183322314049587,9.0,9,363.0,363,/content/drive/MyDrive/wy_images/B82004_2023_24.png,17.96734620581863,249.4,0.7396,0.4682587451160653,89.33,0.1658782793,6.14,2.56
B82012,2019-20,0,2019-04-01,2020-03-31,171.0,13912,1.23,53.95035927337279,-1.5360090153846155,12.0,12,4225.0,4225,/content/drive/MyDrive/wy_images/B82012_2019_20.png,15.178468409811096,108.1,0.6967,0.4570992691335325,89.64,0.1594073820999999,5.22,10.93
B82012,2020-21,1,2020-04-01,2021-03-31,176.0,14228,1.24,53.95035927337279,-1.5360090153846155,12.0,12,4225.0,4225,/content/drive/MyDrive/wy_images/B82012_2020_21.png,18.611807561537024,108.1,0.6726,0.4379189197885543,84.58,0.1577499488,-1.33,10.95
B82012,2021-22,0,2021-04-01,2022-03-31,165.0,14625,1.13,53.95035927337279,-1.5360090153846155,12.0,12,4225.0,4225,/content/drive/MyDrive/wy_images/B82012_2021_22.png,15.459502816374812,108.1,0.6376,0.4722600045966444,96.75,0.1587042108,7.99,10.93
B82012,2022-23,0,2022-04-01,2023-03-31,179.0,14792,1.21,53.95035927337279,-1.5360090153846155,12.0,12,4225.0,4225,/content/drive/MyDrive/wy_images/B82012_2022_23.png,15.798057510982838,108.1,0.6382,0.4219322362675247,97.05,0.135108259,-4.84,10.87
B82012,2023-24,0,2023-04-01,2024-03-31,171.0,14996,1.14,53.95035927337279,-1.5360090153846155,12.0,12,4225.0,4225,/content/drive/MyDrive/wy_images/B82012_2023_24.png,19.723087686887297,108.1,0.7107,0.4646429280625144,92.69,0.1742594874999999,1.91,10.86
B82013,2019-20,0,2019-04-01,2020-03-31,364.0,19952,1.82,53.954800167464114,-1.5696383492822965,16.0,16,418.0,418,/content/drive/MyDrive/wy_images/B82013_2019_20.png,18.4686298641094,143.3,0.6635,0.4543828177430474,89.85,0.1553486738,7.68,17.78
B82013,2020-21,1,2020-04-01,2021-03-31,359.0,19672,1.82,53.954800167464114,-1.5696383492822965,16.0,16,418.0,418,/content/drive/MyDrive/wy_images/B82013_2020_21.png,22.65210538150699,143.3,0.6401,0.4306322224775913,85.67,0.1568765086,-0.89,17.58
B82013,2021-22,0,2021-04-01,2022-03-31,356.0,19497,1.83,53.954800167464114,-1.5696383492822965,16.0,16,418.0,418,/content/drive/MyDrive/wy_images/B82013_2021_22.png,15.5849745807484,143.3,0.6118,0.4585676212364973,97.87,0.1609554616,7.31,17.36
B82013,2022-23,0,2022-04-01,2023-03-31,376.0,19769,1.9,53.954800167464114,-1.5696383492822965,16.0,16,418.0,418,/content/drive/MyDrive/wy_images/B82013_2022_23.png,15.92104567967115,143.3,0.6096,0.4248872948747415,96.39,0.1389345745,-3.54,17.26
B82013,2023-24,0,2023-04-01,2024-03-31,381.0,20122,1.89,53.954800167464114,-1.5696383492822965,16.0,16,418.0,418,/content/drive/MyDrive/wy_images/B82013_2023_24.png,18.609405831831364,143.3,0.6577,0.4500878878418753,94.08,0.1714186834999999,2.56,17.24
B82014,2019-20,0,2019-04-01,2020-03-31,106.0,6708,1.58,53.952850608695655,-1.5535491304347826,8.0,8,115.0,115,/content/drive/MyDrive/wy_images/B82014_2019_20.png,19.43446631487944,130.1,0.6327,0.4452239715008044,89.88,0.1564329063,5.33,16.12
B82014,2020-21,1,2020-04-01,2021-03-31,107.0,6645,1.61,53.952850608695655,-1.5535491304347826,8.0,8,115.0,115,/content/drive/MyDrive/wy_images/B82014_2020_21.png,24.80966733525569,130.1,0.6105,0.4184265456216961,85.54,0.1577646268999999,0.03,16.01
B82014,2021-22,0,2021-04-01,2022-03-31,106.0,6694,1.58,53.952850608695655,-1.5535491304347826,8.0,8,115.0,115,/content/drive/MyDrive/wy_images/B82014_2021_22.png,16.67484426251289,130.1,0.5739,0.4390018294644909,97.51,0.1611112945,7.89,15.92
B82014,2022-23,0,2022-04-01,2023-03-31,105.0,6738,1.56,53.952850608695655,-1.5535491304347826,8.0,8,115.0,115,/content/drive/MyDrive/wy_images/B82014_2022_23.png,17.409599083788102,130.1,0.5793,0.4088271937485635,96.0,0.1323460260999999,-5.37,15.9
B82014,2023-24,0,2023-04-01,2024-03-31,109.0,6834,1.59,53.952850608695655,-1.5535491304347826,8.0,8,115.0,115,/content/drive/MyDrive/wy_images/B82014_2023_24.png,17.403196119595098,130.1,0.6279,0.4301917168467019,93.38,0.1678937702,2.05,16.06
B82016,2019-20,0,2019-04-01,2020-03-31,137.0,7757,1.77,53.95893597826087,-1.5560589130434783,6.0,6,184.0,184,/content/drive/MyDrive/wy_images/B82016_2019_20.png,15.30497128464891,128.5,0.6403,0.4498492806251437,89.62,0.1558550123,7.12,19.34
